Airport,Square Footage of Runways,Weather
ABE,"13,399",Warm
ABI,18078,Hot
ABQ,29793,Hot
ABY,11820,Hot
ACT,12210,Sweltering
ACV,10547,Cool
ACY,16144,Hot
ADK,7790,Cold
ADQ,17943,Cool
AEX,16353,Hot
AGS,14001,Hot
ALB,15700,Warm
AMA,21403,Hot
ANC,33865,Warm
ASE,8006,Warm
ATL,49389,Hot
ATW,14505,Warm
AUS,21250,Sweltering
AVL,8001,Warm
AVP,11802,Warm
AZO,12741,Warm
BDL,16357,Warm
BET,12258,Cool
BFL,18558,Sweltering
BGM,12305,Warm
BGR,11440,Warm
BHM,19106,Hot
BIL,19820,Hot
BIS,15394,Hot
BKG,"7,140",Hot
BLI,"6,701",Cool
BMI,14525,Warm
BNA,34736,Hot
BOI,24763,Hot
BOS,42511,Warm
BQK,"8,001",Hot
BQN,"11,702",Hot
BRO,16399,Hot
BRW,7100,Cold
BTM,14101,Warm
BTR,18304,Hot
BTV,12431,Warm
BUF,15990,Warm
BUR,12688,Hot
BWI,25004,Hot
BZN,19451,Hot
CAE,16602,Hot
CAK,15805,Warm
CDC,13472,Hot
CDV,9399,Cool
CEC,10002,Cool
CHA,12975,Hot
CHO,6801,Hot
CHS,16001,Hot
CIC,9724,Sweltering
CID,14800,Warm
CLD,4897,Warm
CLE,24971,Warm
CLL,12158,Sweltering
CLT,35179,Hot
CMH,18114,Warm
CMI,18420,Warm
CMX,11701,Warm
COD,8268,Warm
COS,32792,Warm
COU,12902,Hot
CPR,18844,Hot
CRP,13590,Hot
CRW,6715,Hot
CSG,10994,Hot
CVG,41000,Hot
CWA,14149,Warm
CYS,15960,Warm
DAB,19696,Hot
DAL,16552,Sweltering
DAY,26688,Warm
DBQ,12829,Warm
DCA,17373,Hot
DEN,76000,Hot
DFW,80403,Sweltering
DHN,13997,Hot
DLH,16310,Warm
DRO,9201,Warm
DSM,18006,Hot
DTW,57712,Warm
EAU,13101,Warm
ECP,10000,Hot
EGE,9000,Warm
EKO,10326,Hot
ELM,15422,Warm
ELP,26544,Hot
ERI,11928,Warm
EUG,14009,Warm
EVV,17804,Hot
EWN,10453,Hot
EWR,27726,Hot
EYW,5076,Hot
FAI,26601,Cool
FAR,19104,Warm
FAT,17547,Sweltering
FAY,12510,Hot
FCA,12510,Warm
FLG,8800,Warm
FLL,17000,Hot
FLO,12502,Hot
FNT,15050,Warm
FSD,20150,Warm
FSM,13018,Hot
FWA,23984,Warm
GCC,13303,Hot
GEG,19201,Hot
GFK,18758,Warm
GGG,16109,Hot
GJT,16004,Hot
GNV,11662,Hot
GPT,13937,Hot
GRB,16400,Warm
GRK,10000,Hot
GRR,23503,Warm
GSO,25380,Hot
GSP,25381,Hot
GTF,20518,Hot
GTR,8002,Hot
GUC,12400,Warm
GUM,22029,Hot
HDN,13048,Warm
HLN,"16,633",Hot
HNL,48359,Hot
HOU,20349,Hot
HPN,11000,Warm
HRL,21507,Hot
HSV,22601,Hot
HTS,7017,Hot
IAD,53401,Hot
IAH,50403,Hot
ICT,23903,Hot
IDA,13503,Hot
ILM,50403,Hot
IND,28478,Warm
IPL,9809,Sweltering
ISP,15367,Warm
ITH,8995,Warm
ITO,15400,Warm
IYK,17525,Sweltering
JAC,6300,Warm
JAN,17000,Hot
JAX,17701,Hot
JFK,44990,Warm
JNU,13457,Cool
KOA,11000,Hot
KTN,17000,Cool
LAN,17110,Warm
LAS,43799,Sweltering
LAX,"43,829",Warm
LBB,"22,394",Hot
LCH,11700,Hot
LEX,11004,Hot
LFT,17499,Hot
LGA,14004,Warm
LGB,"20,110",Warm
LIH,13000,Warm
LIT,22748,Hot
LMT,15559,Hot
LNK,27350,Hot
LRD,22906,Sweltering
LSE,"19,991",Warm
LWB,7003,Warm
LWS,11513,Hot
LYH,10486,Hot
MAF,26747,Hot
MBS,14402,Warm
MCI,29802,Hot
MCO,43010,Hot
MDT,10001,Hot
MDW,27474,Warm
MEI,14602,Hot
MEM,38386,Hot
MFE,9759,Sweltering
MFR,8800,Hot
MGM,13031,Hot
MHK,12000,Hot
MHT,16901,Warm
MIA,41482,Hot
MKE,32808,Warm
MKG,12601,Warm
MLB,19182,Hot
MLI,22319,Hot
MLU,17505,Hot
MMH,7000,Warm
MOB,12878,Hot
MOD,9368,Hot
MOT,14051,Warm
MQT,9072,Cool
MRY,10678,Cool
MSN,22052,Warm
MSO,14113,Hot
MSP,37206,Warm
MSY,17105,Hot
MTJ,"10,000",Hot
MYR,"9,503",Hot
OAJ,"7,100",Hot
OAK,"10,000",Warm
OGG,"11,978",Hot
OKC,"27,400",Hot
OMA,"8,500",Hot
OME,"6,009",Cool
ONT,22398,Hot
ORD,76881,Warm
ORF,13876,Hot
OTH,9792,Warm
OTZ,10176,Hot
PAH,11999,Hot
PBI,20146,Hot
PDX,26825,Warm
PHF,14529,Hot
PHL,33000,Hot
PHX,29589,Sweltering
PIA,18108,Hot
PIE,15633,Hot
PIH,16210,Hot
PIT,40878,Warm
PLN,11914,Warm
PNS,14004,Hot
PSC,19838,Hot
PSE,8004,Hot
PSG,6400,Cold
PSP,"14,952",Sweltering
PVD,14781,Warm
PWM,13300,Warm
RAP,12302,Hot
RDD,12070,Sweltering
RDM,14044,Hot
RDU,31709,Warm
RIC,15610,Hot
RKS,15228,Warm
RNO,26103,Hot
ROA,12610,Hot
ROC,18402,Warm
ROW,23000,Hot
RST,16335,Warm
RSW,12000,Hot
SAF,20983,Hot
SAN,9400,Cool
SAT,22526,Hot
SAV,16353,Hot
SBA,14416,Cool
SBN,19814,Warm
SBP,8600,Cool
SCC,6500,Cool
SCE,6701,Warm
SDF,27716,Hot
SEA,29827,Warm
SFO,39551,Warm
SGF,15003,Hot
SGU,9300,Sweltering
SHV,15350,Hot
SIT,7200,Cool
SJC,22000,Warm
SJT,18390,Very Hot
SJU,"18,416",Hot
SLC,38491,Hot
SMF,17205,Hot
SMX,13193,Cool
SNA,8588,Warm
SPI,20701,Hot
SPS,36123,Sweltering
SRQ,14509,Hot
STL,36636,Hot
STT,7000,Hot
STX,10004,Hot
SUN,7500,Warm
SWF,17821,Warm
SYR,16502,Warm
TEX,7111,Cool
TLH,15000,Hot
TOL,16198,Warm
TPA,26301,Hot
TRI,12442,Warm
TUL,23477,Hot
TUS,26404,Sweltering
TVC,12393,Warm
TWF,11927,Warm
TXK,11801,Hot
TYR,18366,Hot
TYS,19000,Warm
UTM,8500,Warm
VLD,17236,Warm
VPS,21988,Hot
WRG,5999,Cold
XNA,17600,Warm
YAK,14220,Cold
YUM,34395,Sweltering
