IATA,AIRPORT,LATITUDE,LONGITUDE,DELAY,SIZE
ABE,Lehigh Valley International,40.65236278,-75.44040167,32.16374,13.399
ABI,Abilene Regional,32.41132,-99.68189722,15.16588,18.078
ABQ,Albuquerque International,35.04022222,-106.6091944,49.12469,29.793
ABY,Southwest Georgia Regional,31.535515,-84.19447333,25.28736,11.82
ACT,Waco Regional,31.61128833,-97.23051917,28.33333,12.21
ACV,Arcata,40.97811528,-124.1086189,53.04054,10.547
ACY,Atlantic City International,39.45758333,-74.57716667,25.80645,16.144
ADK,Adak,51.87796389,-176.6460306,55.55556,7.79
ADQ,Kodiak ,57.74996778,-152.4938553,32.14286,17.943
AEX,Alexandria International,31.32737167,-92.54855611,26.57343,16.353
AGS,Bush ,33.369955,-81.96449611,36.02484,14.001
ALB,Albany Cty,42.74811944,-73.80297861,42.06099,15.7
AMA,Amarillo International,35.2193725,-101.7059272,48.34025,21.403
ANC,Ted Stevens Anchorage International,61.17432028,-149.9961856,31.7521,33.865
ASE,Aspen-Pitkin Co Sardy ,39.22316,-106.868845,38.86463,8.006
ATL,William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,42.38439,49.389
ATW,Outagamie County Regional,44.25740806,-88.51947556,29.36508,14.505
AUS,Austin-Bergstrom International,30.19453278,-97.66987194,43.34975,21.25
AVL,Asheville Regional,35.43619444,-82.54180556,40.37559,8.001
AVP,Wilkes-Barre Scranton Intl,41.33814944,-75.7242675,43.21608,11.802
AZO,Kalamazoo County,42.234875,-85.5520575,25.5144,12.741
BDL,Bradley International,41.93887417,-72.68322833,43.55263,16.357
BET,Bethel,60.77977639,-161.8379975,54.7619,12.258
BFL,Meadows ,35.43359806,-119.0567681,34.05797,18.558
BGM,Binghamton Regional,42.20848278,-75.97961361,44.59459,12.305
BGR,Bangor International,44.80744444,-68.82813889,50,11.44
BHM,Birmingham International,33.56294306,-86.75354972,45.50114,19.106
BIL,Billings Logan Intl,45.8076625,-108.5428611,26.47059,19.82
BIS,Bismarck Municipal,46.77411111,-100.7467222,44.44444,15.394
BKG,Branson,36.53853596,-93.1990729,21.66667,7.14
BLI,Bellingham Intl,48.79275,-122.5375278,34.61538,6.701
BMI,Central Illinois Regional,40.47798556,-88.91595278,42.71605,14.525
BNA,Nashville International,36.12447667,-86.67818222,52.49253,34.736
BOI,Boise Air Terminal,43.56444444,-116.2227778,51.40728,24.763
BOS,Gen Edw L Logan Intl,42.3643475,-71.00517917,39.43214,42.511
BQK,Glynco Jetport,31.25902778,-81.46630556,25.28736,8.001
BQN,Rafael Hernandez,18.49486111,-67.12944444,42.33577,11.702
BRO,Brownsville S.Padre Island International,25.90683333,-97.42586111,23.6715,16.399
BRW,Wiley Post Will Rogers Memorial,71.2854475,-156.7660019,54.41176,7.1
BTM,Bert Mooney,45.95479528,-112.49746,35,14.101
BTR,Baton Rouge Metropolitan,30.53316083,-91.14963444,26.96477,18.304
BTV,Burlington International,44.47300361,-73.1503125,41.10899,12.431
BUF,Buffalo Niagara Intl,42.94052472,-78.73216667,47.72962,15.99
BUR,Burbank-Glendale-Pasadena,34.20061917,-118.3584969,54.44807,12.688
BWI,Baltimore-Washington International,39.17540167,-76.66819833,57.32633,25.004
BZN,Gallatin ,45.77690139,-111.1530072,27.0195,19.451
CAE,Columbia Metropolitan,33.93884,-81.11953944,35.57833,16.602
CAK,Akron-Canton Regional,40.91631194,-81.44246556,39.26219,15.805
CDC,Cedar City Muni,37.70097028,-113.098575,49.09091,13.472
CDV,Merle K (Mudhole) Smith,60.49183389,-145.4776503,22.80702,9.399
CEC,Jack McNamara ,41.78015722,-124.2365333,48.86364,10.002
CHA,Lovell ,35.03526833,-85.20378778,29.75207,12.975
CHO,Charlottesville-Albermarle,38.13863889,-78.45286111,24.13793,6.801
CHS,Charleston AFB International,32.89864639,-80.04050583,31.28103,16.001
CIC,Chico Municipal,39.79538278,-121.8584231,40.83333,9.724
CID,Eastern Iowa ,41.88458833,-91.71087222,34.80084,14.8
CLD,MC Clellan-Palomar Airport,33.127231,-117.278727,40.4908,4.897
CLE,Cleveland-Hopkins Intl,41.41089417,-81.84939667,41.71022,24.971
CLL,Easterwood ,30.58858944,-96.36382417,32.25806,12.158
CLT,Charlotte Douglas International,35.21401111,-80.94312583,41.15692,35.179
CMH,Port Columbus Intl,39.99798528,-82.89188278,45.65299,18.114
CMI,University of Illinois-Willard,40.03925,-88.27805556,31.28492,18.42
CMX,Houghton County Memorial,47.16841722,-88.48906083,30.64516,11.701
COD,Yellowstone Regional,44.52019417,-109.0237961,37.63441,8.268
COS,City of Colorado Springs Muni,38.80580556,-104.70025,35.88749,32.792
COU,Columbia Regional,38.81809306,-92.21962917,31.46067,12.902
CPR,Natrona County Intl,42.90835556,-106.4644661,30.11364,18.844
CRP,Corpus Christi International,27.77036083,-97.50121528,25.39913,13.59
CRW,Yeager,38.37315083,-81.59318972,42.45524,6.715
CSG,Columbus Metropolitan,32.51633333,-84.93886111,29.60894,10.994
CVG,Cincinnati Northern Kentucky Intl,39.04614278,-84.6621725,38.74257,41
CWA,Central Wisconsin,44.77761917,-89.66677944,41.13475,14.149
CYS,Cheyenne,41.1557225,-104.8118381,22.58065,15.96
DAB,Daytona Beach International,29.17991667,-81.05805556,43.7037,19.696
DAL,Dallas Love ,32.84711389,-96.85177222,71.59979,16.552
DAY,James M Cox Dayton Intl,39.90237583,-84.219375,31.99357,26.688
DBQ,Dubuque Municipal,42.40295944,-90.70916722,33.33333,12.829
DCA,Ronald Reagan Washington National,38.85208333,-77.03772222,31.71214,17.373
DEN,Denver Intl,39.85840806,-104.6670019,47.53817,76
DFW,Dallas-Fort Worth International,32.89595056,-97.0372,39.76257,80.403
DHN,Dothan ,31.32133917,-85.44962889,23.72881,13.997
DLH,Duluth International,46.84209028,-92.19364861,37.5,16.31
DRO,Durango-La Plata County,37.15151667,-107.7537692,30.24055,9.201
DSM,Des Moines International,41.53493306,-93.66068222,36.95238,18.006
DTW,Detroit Metropolitan-Wayne County,42.21205889,-83.34883583,47.95981,57.712
EAU,Chippewa Valley Regional,44.86525722,-91.48507194,38.20225,13.101
ECP,Northwest Florida Beaches International,30.35452072,-85.79955635,30.51724,10
EGE,Eagle County Regional,39.64256778,-106.9176953,31.92308,9
EKO,Elko Regional,40.82492611,-115.7916964,48.27586,10.326
ELM,Elmira Corning Regional,42.15991361,-76.89144333,40.38462,15.422
ELP,El Paso International,31.80666667,-106.3778056,43.67437,26.544
ERI,Erie Intl,42.08202139,-80.17621556,37.83784,11.928
EUG,Mahlon Sweet ,44.12326,-123.2186856,45.34606,14.009
EVV,Evansville Regional,38.03799139,-87.53062667,26.57143,17.804
EWN,Craven County Regional,35.07297222,-77.04294444,22.97297,10.453
EWR,Newark Intl,40.69249722,-74.16866056,49.00238,27.726
EYW,Key West International,24.55611111,-81.75955556,38.09524,5.076
FAI,Fairbanks International,64.8136775,-147.8596694,37.38602,26.601
FAR,Hector International,46.91934889,-96.81498889,38.36735,19.104
FAT,Fresno Yosemite International,36.77619444,-119.7181389,38.72297,17.547
FAY,Fayetteville Municipal,34.99147222,-78.88,30.76923,12.51
FCA,Glacier Park Intl,48.31140472,-114.2550694,27.32919,12.51
FLG,Flagstaff Pulliam,35.13845472,-111.6712183,11.87215,8.8
FLL,Fort Lauderdale-Hollywood Int'l,26.07258333,-80.15275,45.61736,17
FLO,Florence Regional,34.18536111,-79.72388889,61.11111,12.502
FNT,Bishop,42.96550333,-83.74345639,43.61949,15.05
FSD,Joe Foss ,43.58135111,-96.74170028,37.13733,20.15
FSM,Fort Smith Regional,35.33659028,-94.36744111,17.28395,13.018
FWA,Fort Wayne International,40.97846583,-85.19514639,33.18486,23.984
GCC,Gillette-Campbell County,44.34889806,-105.5393614,37.90323,13.303
GEG,Spokane Intl,47.61985556,-117.5338425,45.18868,19.201
GFK,Grand Forks International,47.949255,-97.17611111,40.29126,18.758
GGG,Gregg County,32.38486111,-94.71171,25.80645,16.109
GJT,Walker ,39.1224125,-108.5267347,25.15991,16.004
GNV,Gainesville Regional,29.69005556,-82.27177778,37.62887,11.662
GPT,Gulfport-Biloxi Regional,30.40728028,-89.07009278,28.68526,13.937
GRB,Austin Straubel International,44.48507333,-88.12959,34.75046,16.4
GRK,Robert Gray AAF,31.06489778,-97.82779778,30.33708,10
GRR,Kent County International,42.88081972,-85.52276778,36.84729,23.503
GSO,Piedmont Triad International,36.09774694,-79.9372975,34.67279,25.38
GSP,Greenville-Spartanburg,34.89566722,-82.21885833,37.97468,25.381
GTF,Great Falls Intl,47.48200194,-111.3706853,29.2517,20.518
GTR,Golden Triangle Regional,33.45033444,-88.59136861,14.7541,8.002
GUC,Gunnison County,38.53396333,-106.9331817,33.68421,12.4
GUM,Guam International,13.48345,-144.7959825,60,22.029
HDN,Yampa Valley,40.48118028,-107.2176597,31.64557,13.048
HLN,Helena Regional,46.60681806,-111.9827503,35.86207,16.633
HNL,Honolulu International,21.31869111,-157.9224072,31.94881,48.359
HOU,William P X,29.64541861,-95.27888889,66.71946,20.349
HPN,Westchester Cty,41.06695778,-73.70757444,42.03431,11
HRL,Valley International,26.22850611,-97.65439389,34.2233,21.507
HSV,Huntsville International ,34.6404475,-86.77310944,27.56184,22.601
HTS,Tri-State Walker-Long ,38.36666667,-82.55802778,12.2807,7.017
IAD,Washington Dulles International,38.94453194,-77.45580972,38.5723,53.401
IAH,George Bush Intercontinental,29.98047222,-95.33972222,48.44826,50.403
ICT,Wichita Mid-Continent,37.64995889,-97.43304583,29.24335,23.903
